Cloud Pocket Name,Type,Txn,CP Bal,Account Bal,Category,Memo,Date,Time,Note
ใช้,Payment,-150.00,6405.00,53490.00,ช้อปปิ้ง,,27/1/2025,15:00:00,Tops Supermarket
ใช้,Payment,-90.00,6315.00,53400.00,อาหาร,,28/1/2025,19:30:11,Zen Japanese
ใช้,Payment,-40.00,6275.00,53360.00,เดินทาง,,29/1/2025,08:30:00,BTS Rabbit
ใช้,Payment,-65.00,6210.00,53295.00,อาหาร,,30/1/2025,12:00:00,ก๋วยเตี๋ยวต้มยำ
ใช้,Payment,-85.00,6125.00,53210.00,อาหาร,,31/1/2025,13:00:22,Siam Square One
ใช้,Payment,-95.00,6030.00,53115.00,อาหาร,,1/2/2025,12:15:00,Fuji สยาม
ใช้,Transfer Withdraw,-1500.00,4530.00,51615.00,อื่นๆ,,2/2/2025,17:30:00,NATNAPA JUMPATIP
ใช้,Payment,-55.00,4475.00,51560.00,อาหาร,,3/2/2025,08:00:11,กาแฟอเมซอน
ใช้,Payment,-6200.00,-1725.00,45360.00,ช้อปปิ้ง,,4/2/2025,15:00:00,Dyson Airwrap Shopee
Cashbox,Deposit,10000.00,8275.00,55360.00,,,5/2/2025,10:00:00,เติมเงิน
ใช้,Payment,-70.00,8205.00,55290.00,อาหาร,,5/2/2025,12:30:44,โออิชิ แกรนด์
ใช้,Payment,-45.00,8160.00,55245.00,เดินทาง,,6/2/2025,08:45:00,Grab Car
ใช้,Payment,-120.00,8040.00,55125.00,บันเทิง,,7/2/2025,19:00:00,Concert BNK48
ใช้,Payment,-80.00,7960.00,55045.00,อาหาร,,8/2/2025,12:00:22,MK Restaurant
ใช้,Payment,-65.00,7895.00,54980.00,อาหาร,,9/2/2025,13:30:10,ก๋วยจั๊บ
ใช้,Payment,-35.00,7860.00,54945.00,เดินทาง,,10/2/2025,09:00:00,MRT
ใช้,Payment,-90.00,7770.00,54855.00,อาหาร,,11/2/2025,19:15:33,Sushi Hero
ใช้,Payment,-250.00,7520.00,54605.00,ช้อปปิ้ง,,12/2/2025,15:45:00,กิฟต์วาเลนไทน์
ใช้,Payment,-75.00,7445.00,54530.00,อาหาร,,13/2/2025,12:20:05,โตเกียวสไตล์
ใช้,Payment,-1800.00,5645.00,52730.00,บันเทิง,,14/2/2025,19:00:00,Fine Dining วาเลนไทน์
ใช้,Payment,-55.00,5590.00,52675.00,อาหาร,,15/2/2025,08:30:22,Cafe Amazon
ใช้,Payment,-45.00,5545.00,52630.00,เดินทาง,,16/2/2025,09:15:00,Grab Car
ใช้,Payment,-85.00,5460.00,52545.00,อาหาร,,17/2/2025,12:45:11,ชาบู MK
ใช้,Payment,-60.00,5400.00,52485.00,อาหาร,,18/2/2025,08:00:44,Starbucks
Cashbox,Deposit,10000.00,15400.00,62485.00,,,19/2/2025,10:00:00,เติมเงิน
ใช้,Payment,-100.00,15300.00,62385.00,อาหาร,,19/2/2025,19:00:00,Kichi Kichi
ใช้,Payment,-45.00,15255.00,62340.00,เดินทาง,,20/2/2025,08:00:00,BTS
ใช้,Payment,-4200.00,11055.00,58140.00,ช้อปปิ้ง,,21/2/2025,14:00:00,JBL Speaker Lazada
ใช้,Payment,-75.00,10980.00,58065.00,อาหาร,,22/2/2025,12:30:00,โออิชิ บุฟเฟต์
ใช้,Payment,-55.00,10925.00,58010.00,อาหาร,,23/2/2025,08:15:22,กาแฟวาวี
ใช้,Payment,-90.00,10835.00,57920.00,อาหาร,,24/2/2025,19:30:11,Suki Teenoi
ใช้,Transfer Withdraw,-2000.00,8835.00,55920.00,อื่นๆ,,25/2/2025,17:00:00,NATNAPA JUMPATIP
ใช้,Payment,-65.00,8770.00,55855.00,อาหาร,,26/2/2025,12:00:44,ก๋วยเตี๋ยวเรือ
ใช้,Payment,-50.00,8720.00,55805.00,เดินทาง,,27/2/2025,09:00:00,Grab Car
ใช้,Payment,-80.00,8640.00,55725.00,อาหาร,,28/2/2025,13:15:33,Fuji Japanese
ใช้,Payment,-95.00,8545.00,55630.00,อาหาร,,1/3/2025,12:00:00,Yayoi เซ็นทรัล
ใช้,Payment,-40.00,8505.00,55590.00,เดินทาง,,2/3/2025,08:30:00,MRT
ใช้,Payment,-7500.00,1005.00,48090.00,ช้อปปิ้ง,,3/3/2025,15:00:00,MacBook Pro Accessories
Cashbox,Deposit,10000.00,11005.00,58090.00,,,4/3/2025,10:00:00,เติมเงิน
ใช้,Payment,-85.00,10920.00,58005.00,อาหาร,,4/3/2025,19:00:22,Shabushi เซ็นทรัล
ใช้,Payment,-60.00,10860.00,57945.00,อาหาร,,5/3/2025,12:30:10,ข้าวหน้าเป็ด
ใช้,Payment,-45.00,10815.00,57900.00,เดินทาง,,6/3/2025,08:00:00,BTS Rabbit
ใช้,Payment,-55.00,10760.00,57845.00,อาหาร,,7/3/2025,08:15:33,Cafe Amazon
ใช้,Payment,-120.00,10640.00,57725.00,บันเทิง,,8/3/2025,19:30:00,SF Cinema
ใช้,Payment,-75.00,10565.00,57650.00,อาหาร,,9/3/2025,12:45:22,โออิชิ
ใช้,Transfer Withdraw,-1500.00,9065.00,56150.00,อื่นๆ,,10/3/2025,17:00:00,NATNAPA JUMPATIP
ใช้,Payment,-90.00,8975.00,56060.00,อาหาร,,11/3/2025,19:15:11,Kichi Kichi
ใช้,Payment,-50.00,8925.00,56010.00,เดินทาง,,12/3/2025,09:00:00,Grab Car
ใช้,Payment,-65.00,8860.00,55945.00,อาหาร,,13/3/2025,12:00:44,ก๋วยจั๊บ
ใช้,Payment,-3800.00,5060.00,52145.00,ช้อปปิ้ง,,14/3/2025,14:30:00,Adidas Running Shoes
ใช้,Payment,-80.00,4980.00,52065.00,อาหาร,,15/3/2025,13:00:05,Fuji สยาม
Cashbox,Deposit,10000.00,14980.00,62065.00,,,16/3/2025,10:00:00,เติมเงิน
ใช้,Payment,-55.00,14925.00,62010.00,อาหาร,,16/3/2025,08:30:22,กาแฟอเมซอน
ใช้,Payment,-100.00,14825.00,61910.00,อาหาร,,17/3/2025,19:30:00,Sushi Hiro
ใช้,Payment,-45.00,14780.00,61865.00,เดินทาง,,18/3/2025,08:15:00,MRT
ใช้,Payment,-70.00,14710.00,61795.00,อาหาร,,19/3/2025,12:20:33,ส้มตำ
ใช้,Payment,-5900.00,8810.00,55895.00,ช้อปปิ้ง,,20/3/2025,15:00:00,iPad keyboard Shopee
ใช้,Payment,-85.00,8725.00,55810.00,อาหาร,,21/3/2025,12:45:10,โตเกียวสไตล์
ใช้,Transfer Withdraw,-2000.00,6725.00,53810.00,อื่นๆ,,22/3/2025,17:30:00,NATNAPA JUMPATIP
ใช้,Payment,-60.00,6665.00,53750.00,อาหาร,,23/3/2025,08:00:00,Starbucks
ใช้,Payment,-90.00,6575.00,53660.00,อาหาร,,24/3/2025,19:00:22,Suki Destiny
ใช้,Payment,-50.00,6525.00,53610.00,เดินทาง,,25/3/2025,09:00:00,Grab Car
ใช้,Payment,-75.00,6450.00,53535.00,อาหาร,,26/3/2025,12:30:11,MK Restaurant
ใช้,Payment,-150.00,6300.00,53385.00,ช้อปปิ้ง,,27/3/2025,15:45:00,Boots Pharmacy
ใช้,Payment,-95.00,6205.00,53290.00,อาหาร,,28/3/2025,19:15:33,Fuji Japanese
ใช้,Payment,-40.00,6165.00,53250.00,เดินทาง,,29/3/2025,08:30:00,BTS
ใช้,Payment,-80.00,6085.00,53170.00,อาหาร,,30/3/2025,12:00:44,ก๋วยเตี๋ยวเรือ
ใช้,Payment,-55.00,6030.00,53115.00,อาหาร,,31/3/2025,08:15:22,Cafe Amazon
